agent_id,call_length,datestamp,lead_id,status
3,3,2023-03-28 23:14:36,AA_5612647,VM
2,2,2023-03-28 23:14:36,AA_5612647,VM
2,3,2023-03-30 00:14:36,AA_4063048,VM
3,214,2023-03-30 00:14:36,AA_4063048,NI
2,1,2023-03-28 23:14:36,AA_1691449,VM
5,57,2023-03-30 00:14:36,AA_1691449,CB
3,82,2023-03-28 22:14:36,AA_4503650,NI
5,19,2023-03-28 23:14:36,AA_4503650,CB
5,89,2023-03-30 00:14:36,AA_8080251,NI
4,143,2023-03-29 23:14:36,AA_8080251,NI
5,296,2023-03-29 00:14:36,AA_8586452,NI
3,10,2023-03-29 00:14:36,AA_8586452,VM
4,3,2023-03-30 01:14:36,AA_9672753,VM
5,7,2023-03-30 00:14:36,AA_9672753,VM
5,5,2023-03-28 22:14:36,AA_9672753,VM
2,57,2023-03-28 23:14:36,AA_9672753,CB
3,39,2023-03-29 23:14:36,AA_9672753,CB
1,7,2023-03-28 22:14:36,AA_6535354,VM
4,4,2023-03-28 22:14:36,AA_6535354,VM
1,203,2023-03-30 00:14:36,AA_6535354,NI
3,9,2023-03-30 00:14:36,AA_6535354,VM
1,51,2023-03-30 01:14:36,AA_6535354,NI
4,8,2023-03-28 22:14:36,AA_4752055,VM
1,46,2023-03-29 01:14:36,AA_4752055,CB
3,5,2023-03-29 22:14:36,AA_4752055,VM
2,2,2023-03-29 23:14:36,AA_7461356,VM
2,212,2023-03-29 01:14:36,AA_7461356,NI
1,5,2023-03-29 22:14:36,AA_7169857,VM
5,9,2023-03-29 01:14:36,AA_7169857,VM
3,6,2023-03-29 23:14:36,AA_7169857,VM
4,2,2023-03-30 00:14:36,AA_3016658,VM
1,173,2023-03-28 22:14:36,AA_3016658,NI
4,2616,2023-03-28 23:14:36,AA_3016658,S
1,10,2023-03-29 01:14:36,AA_3016658,VM
1,4,2023-03-29 01:14:36,AA_3795659,VM
2,2,2023-03-29 23:14:36,AA_3795659,VM
3,31,2023-03-29 22:14:36,AA_7335360,CB
5,5,2023-03-29 23:14:36,AA_7335360,VM
2,5,2023-03-30 00:14:36,AA_3253961,VM
1,1,2023-03-29 00:14:36,AA_3253961,VM
1,65,2023-03-30 01:14:36,AA_3415462,CB
5,34,2023-03-28 22:14:36,AA_3415462,NI
2,4,2023-03-30 01:14:36,AA_2947863,VM
5,153,2023-03-29 01:14:36,AA_2947863,NI
2,6,2023-03-30 00:14:36,AA_7940764,VM
1,4,2023-03-29 23:14:36,AA_7940764,VM
4,1,2023-03-29 23:14:36,AA_7940764,VM
4,231,2023-03-29 00:14:36,AA_7940764,NI
2,10,2023-03-30 01:14:36,AA_7940764,VM
4,1,2023-03-29 00:14:36,AA_7530465,VM
1,8,2023-03-28 22:14:36,AA_7530465,VM
2,55,2023-03-28 23:14:36,AA_7530465,NI
5,48,2023-03-28 23:14:36,AA_7530465,NI
3,76,2023-03-30 01:14:36,AA_7204766,CB
3,8,2023-03-28 23:14:36,AA_7204766,VM
3,207,2023-03-28 23:14:36,AA_7204766,NI
3,2,2023-03-29 01:14:36,AA_7204766,VM
2,2,2023-03-29 22:14:36,AA_7204766,VM
3,1681,2023-03-29 00:14:36,AA_8851967,S
3,6,2023-03-29 22:14:36,AA_8851967,VM
5,2,2023-03-29 00:14:36,AA_2129768,VM
5,43,2023-03-29 00:14:36,AA_2129768,CB
2,8,2023-03-29 23:14:36,AA_2129768,CB
2,118,2023-03-28 23:14:36,AA_1082269,NI
5,147,2023-03-29 22:14:36,AA_1082269,NI
3,4,2023-03-30 01:14:36,AA_1082269,VM
2,8,2023-03-30 01:14:36,AA_1082269,VM
4,2,2023-03-28 22:14:36,AA_1082269,VM
5,499,2023-03-30 00:14:36,AA_7430470,S
4,7,2023-03-30 00:14:36,AA_7430470,VM
2,2,2023-03-29 01:14:36,AA_2194571,VM
3,6,2023-03-29 23:14:36,AA_2194571,VM
2,5,2023-03-29 23:14:36,AA_2194571,VM
3,6,2023-03-29 23:14:36,AA_1255872,VM
4,7,2023-03-30 00:14:36,AA_1255872,VM
4,3,2023-03-29 01:14:36,AA_1255872,VM
4,100,2023-03-29 00:14:36,AA_7136773,CB
4,6,2023-03-29 23:14:36,AA_7136773,CB
5,4,2023-03-29 00:14:36,AA_7136773,VM
4,3,2023-03-29 22:14:36,AA_7136773,CB
3,7,2023-03-29 22:14:36,AA_7136773,VM
4,6,2023-03-29 22:14:36,AA_5727774,VM
2,6,2023-03-29 00:14:36,AA_5727774,VM
3,9,2023-03-29 23:14:36,AA_6339275,VM
3,8,2023-03-29 22:14:36,AA_6339275,VM
5,3,2023-03-29 23:14:36,AA_3947076,VM
2,10,2023-03-29 00:14:36,AA_3947076,VM
5,2,2023-03-28 22:14:36,AA_1379977,VM
3,3,2023-03-30 00:14:36,AA_1379977,VM
2,9,2023-03-30 00:14:36,AA_3346778,VM
2,3,2023-03-28 23:14:36,AA_3346778,VM
1,83,2023-03-28 23:14:36,AA_1604579,CB
3,161,2023-03-29 23:14:36,AA_1604579,NI
2,52,2023-03-30 01:14:36,AA_8620280,CB
1,8,2023-03-30 01:14:36,AA_8620280,VM
4,243,2023-03-29 00:14:36,AA_8620280,NI
2,6,2023-03-30 00:14:36,AA_8620280,VM
4,10,2023-03-29 23:14:36,AA_8620280,VM
1,144,2023-03-30 00:14:36,AA_2375281,NI
5,822,2023-03-29 22:14:36,AA_2375281,S
2,3,2023-03-28 23:14:36,AA_9642082,VM
5,7,2023-03-30 01:14:36,AA_9642082,VM
2,10,2023-03-29 00:14:36,AA_9337583,VM
4,6,2023-03-28 22:14:36,AA_9337583,VM
3,4,2023-03-29 00:14:36,AA_1824684,VM
3,6,2023-03-28 23:14:36,AA_1824684,VM
2,5,2023-03-29 00:14:36,AA_1824684,VM
4,245,2023-03-29 01:14:36,AA_1824684,NI
1,5,2023-03-29 00:14:36,AA_4558285,VM
1,48,2023-03-28 22:14:36,AA_4558285,CB
3,69,2023-03-29 01:14:36,AA_4558285,NI
2,10,2023-03-28 22:14:36,AA_4558285,VM
3,74,2023-03-29 00:14:36,AA_4558285,NI
3,5,2023-03-29 01:14:36,AA_8458086,VM
1,3,2023-03-29 22:14:36,AA_8458086,VM
5,10,2023-03-29 23:14:36,AA_8458086,VM
5,6,2023-03-29 23:14:36,AA_8458086,VM
3,10,2023-03-29 23:14:36,AA_8458086,VM
2,9,2023-03-30 01:14:36,AA_1724187,VM
5,144,2023-03-29 01:14:36,AA_1724187,NI
1,23,2023-03-29 22:14:36,AA_4497888,NI
3,6,2023-03-29 01:14:36,AA_4497888,VM
4,151,2023-03-30 00:14:36,AA_7239789,NI
4,275,2023-03-30 00:14:36,AA_7239789,NI
4,34,2023-03-28 22:14:36,AA_7239789,CB
2,1784,2023-03-29 01:14:36,AA_9248790,S
3,57,2023-03-29 00:14:36,AA_9248790,CB
5,1,2023-03-28 23:14:36,AA_2014191,VM
2,235,2023-03-30 00:14:36,AA_2014191,NI
4,9,2023-03-29 01:14:36,AA_2014191,VM
4,154,2023-03-29 00:14:36,AA_2014191,NI
4,62,2023-03-29 22:14:36,AA_4652892,CB
3,9,2023-03-30 01:14:36,AA_4652892,VM
1,2237,2023-03-29 22:14:36,AA_4652892,S
5,1368,2023-03-29 00:14:36,AA_3818193,S
4,84,2023-03-29 23:14:36,AA_3818193,CB
5,50,2023-03-29 23:14:36,AA_4305494,NI
1,3,2023-03-29 23:14:36,AA_4305494,VM
3,10,2023-03-28 22:14:36,AA_4305494,VM
3,4,2023-03-29 22:14:36,AA_2534695,VM
5,58,2023-03-29 23:14:36,AA_2534695,CB
2,717,2023-03-28 23:14:36,AA_6366696,S
3,110,2023-03-28 22:14:36,AA_6366696,NI
5,241,2023-03-29 01:14:36,AA_6619697,NI
1,158,2023-03-29 00:14:36,AA_6619697,NI
4,2,2023-03-30 00:14:36,AA_9249198,VM
5,2,2023-03-29 00:14:36,AA_9249198,VM
1,8,2023-03-29 23:14:36,AA_2394099,VM
4,234,2023-03-28 23:14:36,AA_2394099,NI
5,1118,2023-03-29 01:14:36,AA_22055100,S
1,2257,2023-03-29 23:14:36,AA_22055100,S
4,38,2023-03-29 00:14:36,AA_68527101,CB
1,270,2023-03-30 00:14:36,AA_68527101,NI
5,4,2023-03-30 01:14:36,AA_68527101,VM
5,264,2023-03-28 23:14:36,AA_86851102,NI
4,1276,2023-03-29 22:14:36,AA_86851102,S
5,8,2023-03-29 00:14:36,AA_93021103,VM
5,41,2023-03-28 23:14:36,AA_93021103,CB
5,41,2023-03-28 23:14:36,AA_93021103,NI
4,2299,2023-03-29 23:14:36,AA_21879104,S
5,39,2023-03-28 23:14:36,AA_21879104,NI
1,8,2023-03-29 01:14:36,AA_47337105,VM
5,9,2023-03-28 22:14:36,AA_47337105,VM
2,10,2023-03-28 23:14:36,AA_47337105,VM
5,59,2023-03-29 23:14:36,AA_47337105,NI
2,2694,2023-03-28 23:14:36,AA_26032106,S
1,59,2023-03-29 00:14:36,AA_26032106,NI
5,79,2023-03-28 22:14:36,AA_21330107,CB
5,72,2023-03-30 01:14:36,AA_21330107,CB
2,8,2023-03-29 22:14:36,AA_37111108,VM
3,1121,2023-03-30 01:14:36,AA_37111108,S
4,182,2023-03-29 00:14:36,AA_37111108,NI
1,241,2023-03-29 22:14:36,AA_37111108,NI
2,2,2023-03-30 01:14:36,AA_57742109,VM
2,2,2023-03-29 23:14:36,AA_57742109,VM
4,7,2023-03-30 01:14:36,AA_66701110,VM
2,10,2023-03-29 00:14:36,AA_66701110,VM
2,9,2023-03-29 23:14:36,AA_66701110,VM
5,288,2023-03-28 23:14:36,AA_66701110,NI
2,279,2023-03-30 01:14:36,AA_16984111,NI
1,5,2023-03-29 00:14:36,AA_16984111,VM
1,2,2023-03-29 00:14:36,AA_16984111,VM
4,288,2023-03-29 00:14:36,AA_16984111,NI
2,8,2023-03-30 00:14:36,AA_56518112,VM
1,5,2023-03-29 22:14:36,AA_56518112,VM
4,256,2023-03-29 00:14:36,AA_56518112,NI
4,172,2023-03-29 01:14:36,AA_71684113,NI
1,45,2023-03-28 22:14:36,AA_71684113,CB
3,111,2023-03-28 22:14:36,AA_59329114,NI
2,41,2023-03-29 22:14:36,AA_59329114,NI
1,90,2023-03-29 23:14:36,AA_59362115,NI
5,14,2023-03-29 23:14:36,AA_59362115,NI
4,6,2023-03-30 01:14:36,AA_59362115,VM
4,113,2023-03-29 23:14:36,AA_59362115,NI
2,91,2023-03-29 01:14:36,AA_15882116,NI
3,5,2023-03-29 23:14:36,AA_15882116,VM
3,10,2023-03-28 22:14:36,AA_57453117,VM
3,2794,2023-03-30 00:14:36,AA_57453117,S
2,98,2023-03-29 00:14:36,AA_52692118,NI
3,244,2023-03-29 23:14:36,AA_52692118,NI
1,4,2023-03-28 23:14:36,AA_90963119,VM
5,3,2023-03-29 22:14:36,AA_90963119,VM
1,87,2023-03-29 01:14:36,AA_90963119,NI
2,1,2023-03-29 22:14:36,AA_90963119,CB
4,74,2023-03-29 22:14:36,AA_90963119,CB
1,3,2023-03-29 00:14:36,AA_83035120,VM
4,5,2023-03-28 23:14:36,AA_83035120,VM
3,1975,2023-03-29 01:14:36,AA_88713121,S
3,2,2023-03-29 22:14:36,AA_88713121,VM
1,132,2023-03-29 23:14:36,AA_49469122,NI
5,51,2023-03-29 22:14:36,AA_49469122,CB
4,8,2023-03-29 00:14:36,AA_49469122,VM
3,44,2023-03-30 01:14:36,AA_49469122,CB
5,6,2023-03-28 23:14:36,AA_49469122,VM
1,10,2023-03-29 23:14:36,AA_71235123,VM
5,205,2023-03-28 22:14:36,AA_71235123,NI
4,5,2023-03-29 23:14:36,AA_71235123,VM
2,6,2023-03-29 00:14:36,AA_71235123,VM
3,3,2023-03-28 22:14:36,AA_75605124,VM
2,64,2023-03-29 22:14:36,AA_75605124,CB
2,105,2023-03-30 01:14:36,AA_78407125,NI
3,15,2023-03-30 01:14:36,AA_78407125,CB
5,2,2023-03-28 23:14:36,AA_78407125,VM
4,9,2023-03-29 22:14:36,AA_78407125,VM
2,293,2023-03-29 00:14:36,AA_78407125,NI
3,2341,2023-03-30 01:14:36,AA_69246126,S
3,5,2023-03-28 23:14:36,AA_69246126,VM
5,296,2023-03-28 23:14:36,AA_47657127,NI
3,67,2023-03-30 00:14:36,AA_47657127,CB
4,9,2023-03-29 22:14:36,AA_35017128,VM
1,6,2023-03-30 00:14:36,AA_35017128,VM
3,128,2023-03-29 23:14:36,AA_97841129,NI
2,10,2023-03-30 00:14:36,AA_97841129,VM
4,10,2023-03-29 01:14:36,AA_97841129,VM
5,578,2023-03-29 22:14:36,AA_88276130,S
4,8,2023-03-29 22:14:36,AA_88276130,VM
2,10,2023-03-29 00:14:36,AA_27472131,VM
1,10,2023-03-29 01:14:36,AA_27472131,VM
2,154,2023-03-29 01:14:36,AA_34636132,NI
3,41,2023-03-29 00:14:36,AA_34636132,CB
3,96,2023-03-30 01:14:36,AA_34636132,CB
5,28,2023-03-29 23:14:36,AA_34636132,CB
3,7,2023-03-29 00:14:36,AA_58449133,VM
5,5,2023-03-30 01:14:36,AA_58449133,VM
2,10,2023-03-30 01:14:36,AA_94215134,VM
4,2,2023-03-29 00:14:36,AA_94215134,VM
3,7,2023-03-29 22:14:36,AA_84660135,VM
2,208,2023-03-28 22:14:36,AA_84660135,NI
5,1088,2023-03-28 23:14:36,AA_59635136,S
2,1,2023-03-29 00:14:36,AA_59635136,VM
3,850,2023-03-29 23:14:36,AA_59635136,S
1,4,2023-03-29 01:14:36,AA_59635136,VM
5,76,2023-03-29 00:14:36,AA_59635136,CB
2,2542,2023-03-28 23:14:36,AA_53784137,S
2,97,2023-03-29 23:14:36,AA_53784137,CB
5,134,2023-03-29 01:14:36,AA_38241138,NI
4,176,2023-03-29 01:14:36,AA_38241138,NI
4,10,2023-03-29 00:14:36,AA_37769139,VM
1,60,2023-03-29 00:14:36,AA_37769139,CB
4,1,2023-03-29 00:14:36,AA_86884140,VM
5,1073,2023-03-29 01:14:36,AA_86884140,S
2,51,2023-03-29 00:14:36,AA_80563141,CB
2,157,2023-03-28 22:14:36,AA_80563141,NI
2,9,2023-03-28 22:14:36,AA_80563141,VM
2,3,2023-03-28 23:14:36,AA_80563141,VM
2,50,2023-03-28 22:14:36,AA_80563141,CB
1,6,2023-03-29 00:14:36,AA_90568142,VM
2,2,2023-03-28 23:14:36,AA_90568142,VM
4,189,2023-03-28 23:14:36,AA_70750143,NI
5,1500,2023-03-28 23:14:36,AA_70750143,S
4,6,2023-03-29 22:14:36,AA_70750143,VM
4,4,2023-03-29 01:14:36,AA_16716144,VM
2,5,2023-03-29 23:14:36,AA_16716144,VM
2,2,2023-03-29 01:14:36,AA_43890145,VM
5,5,2023-03-29 00:14:36,AA_43890145,VM
4,1512,2023-03-29 01:14:36,AA_43890145,S
3,1,2023-03-29 01:14:36,AA_30527146,VM
2,69,2023-03-29 00:14:36,AA_30527146,CB
5,263,2023-03-28 23:14:36,AA_30527146,NI
2,55,2023-03-29 00:14:36,AA_30527146,CB
1,46,2023-03-29 22:14:36,AA_30527146,NI
3,139,2023-03-30 01:14:36,AA_40064147,NI
1,39,2023-03-30 01:14:36,AA_40064147,CB
1,59,2023-03-29 22:14:36,AA_70372148,CB
4,6,2023-03-29 00:14:36,AA_70372148,VM
4,9,2023-03-29 00:14:36,AA_47293149,VM
1,6,2023-03-29 22:14:36,AA_47293149,VM
5,10,2023-03-29 23:14:36,AA_79788150,VM
5,10,2023-03-28 23:14:36,AA_79788150,VM
2,9,2023-03-29 01:14:36,AA_79788150,VM
5,8,2023-03-30 00:14:36,AA_88478151,VM
1,4,2023-03-29 23:14:36,AA_88478151,VM
5,65,2023-03-30 00:14:36,AA_20725152,CB
5,9,2023-03-29 01:14:36,AA_20725152,VM
5,3,2023-03-28 23:14:36,AA_20725152,VM
4,2,2023-03-28 22:14:36,AA_39780153,VM
3,186,2023-03-29 22:14:36,AA_39780153,NI
3,9,2023-03-28 22:14:36,AA_22962154,VM
2,3,2023-03-29 00:14:36,AA_22962154,VM
2,225,2023-03-28 23:14:36,AA_59702155,NI
2,5,2023-03-28 23:14:36,AA_59702155,VM
4,10,2023-03-29 22:14:36,AA_68746156,VM
2,224,2023-03-28 22:14:36,AA_68746156,NI
1,1,2023-03-30 00:14:36,AA_30432157,VM
3,2,2023-03-29 01:14:36,AA_30432157,VM
4,263,2023-03-28 22:14:36,AA_34968158,NI
3,2336,2023-03-29 22:14:36,AA_34968158,S
3,96,2023-03-29 22:14:36,AA_20332159,CB
5,9,2023-03-30 01:14:36,AA_20332159,VM
5,4,2023-03-28 22:14:36,AA_75160160,VM
1,1,2023-03-29 00:14:36,AA_75160160,VM
2,8,2023-03-30 01:14:36,AA_75160160,VM
1,297,2023-03-30 01:14:36,AA_75160160,NI
3,130,2023-03-29 23:14:36,AA_75160160,NI
5,9,2023-03-28 23:14:36,AA_97565161,VM
2,4,2023-03-29 01:14:36,AA_97565161,VM
4,7,2023-03-29 23:14:36,AA_97565161,VM
1,2604,2023-03-29 22:14:36,AA_97565161,S
2,5,2023-03-29 23:14:36,AA_25637162,VM
5,63,2023-03-29 22:14:36,AA_25637162,NI
3,19,2023-03-29 00:14:36,AA_18747163,CB
4,4,2023-03-29 00:14:36,AA_18747163,CB
2,850,2023-03-30 00:14:36,AA_70572164,S
5,102,2023-03-28 23:14:36,AA_70572164,NI
1,3,2023-03-29 01:14:36,AA_86468165,VM
5,8,2023-03-30 01:14:36,AA_86468165,VM
4,7,2023-03-29 22:14:36,AA_79920166,CB
1,10,2023-03-30 01:14:36,AA_79920166,VM
5,55,2023-03-28 23:14:36,AA_72999167,CB
5,38,2023-03-29 01:14:36,AA_72999167,NI
1,6,2023-03-29 22:14:36,AA_77164168,VM
2,9,2023-03-29 01:14:36,AA_77164168,VM
3,60,2023-03-29 01:14:36,AA_74190169,CB
1,51,2023-03-29 01:14:36,AA_74190169,CB
3,215,2023-03-28 23:14:36,AA_37087170,NI
3,9,2023-03-30 01:14:36,AA_37087170,VM
2,5,2023-03-28 23:14:36,AA_61032171,VM
4,3,2023-03-29 00:14:36,AA_61032171,VM
1,1,2023-03-29 23:14:36,AA_55639172,VM
4,2,2023-03-30 00:14:36,AA_55639172,VM
1,3,2023-03-28 22:14:36,AA_55639172,VM
4,9,2023-03-30 01:14:36,AA_70184173,VM
5,131,2023-03-30 00:14:36,AA_70184173,NI
4,21,2023-03-30 00:14:36,AA_70184173,CB
3,165,2023-03-30 00:14:36,AA_16804174,NI
5,9,2023-03-30 00:14:36,AA_16804174,VM
1,246,2023-03-29 22:14:36,AA_56775175,NI
4,15,2023-03-30 00:14:36,AA_56775175,CB
5,172,2023-03-29 01:14:36,AA_37453176,NI
4,165,2023-03-29 00:14:36,AA_37453176,NI
5,224,2023-03-30 00:14:36,AA_29678177,NI
1,4,2023-03-29 22:14:36,AA_29678177,VM
1,6,2023-03-28 23:14:36,AA_73307178,VM
2,1,2023-03-29 01:14:36,AA_73307178,VM
4,1062,2023-03-29 22:14:36,AA_65246179,S
1,79,2023-03-29 23:14:36,AA_65246179,CB
2,3,2023-03-29 00:14:36,AA_65246179,VM
2,29,2023-03-28 22:14:36,AA_65246179,NI
3,262,2023-03-30 01:14:36,AA_62981180,NI
4,7,2023-03-28 23:14:36,AA_62981180,VM
2,74,2023-03-29 23:14:36,AA_30489181,CB
4,96,2023-03-29 22:14:36,AA_30489181,NI
2,2,2023-03-28 23:14:36,AA_94678182,VM
1,499,2023-03-30 00:14:36,AA_94678182,S
3,9,2023-03-29 00:14:36,AA_53954183,VM
3,166,2023-03-28 22:14:36,AA_53954183,NI
5,8,2023-03-28 23:14:36,AA_33158184,VM
1,10,2023-03-28 22:14:36,AA_33158184,VM
3,1993,2023-03-29 22:14:36,AA_99596185,S
5,53,2023-03-28 23:14:36,AA_99596185,NI
3,549,2023-03-29 01:14:36,AA_99596185,S
3,8,2023-03-30 00:14:36,AA_62481186,VM
3,2,2023-03-30 00:14:36,AA_62481186,VM
5,9,2023-03-30 01:14:36,AA_29114187,VM
1,7,2023-03-30 01:14:36,AA_29114187,VM
5,141,2023-03-28 22:14:36,AA_29114187,NI
3,7,2023-03-29 23:14:36,AA_29114187,VM
5,43,2023-03-30 00:14:36,AA_29114187,CB
5,243,2023-03-29 01:14:36,AA_97962188,NI
3,4,2023-03-29 22:14:36,AA_97962188,VM
1,8,2023-03-29 01:14:36,AA_97962188,VM
4,2,2023-03-29 22:14:36,AA_97962188,VM
2,9,2023-03-28 23:14:36,AA_65060189,VM
2,292,2023-03-28 23:14:36,AA_65060189,NI
4,25,2023-03-28 23:14:36,AA_44655190,CB
1,9,2023-03-30 01:14:36,AA_44655190,VM
4,108,2023-03-28 22:14:36,AA_53316191,NI
3,54,2023-03-30 00:14:36,AA_53316191,CB
1,6,2023-03-28 23:14:36,AA_53316191,VM
2,1365,2023-03-29 01:14:36,AA_41199192,S
3,8,2023-03-29 23:14:36,AA_41199192,VM
1,82,2023-03-30 00:14:36,AA_63681193,CB
5,9,2023-03-30 01:14:36,AA_63681193,VM
5,68,2023-03-30 00:14:36,AA_63681193,NI
1,6,2023-03-29 00:14:36,AA_85063194,VM
4,1,2023-03-29 23:14:36,AA_85063194,VM
3,6,2023-03-29 22:14:36,AA_85063194,CB
