call_centre_code,campaign_id,date_sent,lead_id
1,1,2023/03/29,AA_7136773
2,2,2023/03/30,AA_5727774
2,2,2023/03/29,AA_6339275
1,1,2023/03/30,AA_3947076
2,1,2023/03/29,AA_1379977
2,2,2023/03/30,AA_3346778
2,3,2023/03/29,AA_1604579
1,2,2023/03/30,AA_8620280
1,3,2023/03/29,AA_2375281
2,1,2023/03/30,AA_9642082
1,3,2023/03/29,AA_9337583
2,3,2023/03/30,AA_1824684
2,3,2023/03/29,AA_4558285
1,2,2023/03/30,AA_8458086
1,2,2023/03/29,AA_1724187
2,2,2023/03/30,AA_4497888
1,3,2023/03/29,AA_7239789
2,2,2023/03/30,AA_9248790
1,2,2023/03/29,AA_2014191
1,2,2023/03/30,AA_4652892
1,2,2023/03/29,AA_3818193
1,1,2023/03/30,AA_4305494
1,3,2023/03/29,AA_2534695
1,3,2023/03/30,AA_6366696
1,1,2023/03/29,AA_6619697
1,1,2023/03/30,AA_9249198
2,3,2023/03/29,AA_2394099
2,1,2023/03/30,AA_22055100
1,1,2023/03/29,AA_68527101
2,2,2023/03/30,AA_86851102
1,3,2023/03/29,AA_93021103
2,1,2023/03/30,AA_21879104
2,2,2023/03/29,AA_47337105
2,3,2023/03/30,AA_26032106
2,1,2023/03/29,AA_21330107
1,1,2023/03/30,AA_37111108
1,3,2023/03/29,AA_57742109
2,3,2023/03/30,AA_66701110
1,2,2023/03/29,AA_16984111
1,1,2023/03/30,AA_56518112
1,3,2023/03/29,AA_71684113
2,1,2023/03/30,AA_59329114
1,2,2023/03/29,AA_59362115
2,3,2023/03/30,AA_15882116
2,3,2023/03/29,AA_57453117
2,2,2023/03/30,AA_52692118
1,1,2023/03/29,AA_90963119
2,3,2023/03/30,AA_83035120
2,2,2023/03/29,AA_88713121
1,1,2023/03/30,AA_49469122
2,2,2023/03/29,AA_71235123
1,2,2023/03/30,AA_75605124
2,2,2023/03/29,AA_78407125
2,3,2023/03/30,AA_69246126
2,2,2023/03/29,AA_47657127
2,3,2023/03/30,AA_35017128
1,2,2023/03/29,AA_97841129
1,3,2023/03/30,AA_88276130
1,1,2023/03/29,AA_27472131
2,2,2023/03/30,AA_34636132
1,1,2023/03/29,AA_58449133
2,3,2023/03/30,AA_94215134
2,1,2023/03/29,AA_84660135
2,2,2023/03/30,AA_59635136
1,1,2023/03/29,AA_53784137
1,3,2023/03/30,AA_38241138
2,3,2023/03/29,AA_37769139
1,2,2023/03/30,AA_86884140
1,1,2023/03/29,AA_80563141
2,1,2023/03/30,AA_90568142
1,2,2023/03/29,AA_70750143
1,2,2023/03/30,AA_16716144
2,2,2023/03/29,AA_43890145
2,1,2023/03/30,AA_30527146
2,2,2023/03/29,AA_40064147
1,2,2023/03/30,AA_70372148
2,2,2023/03/29,AA_47293149
1,1,2023/03/30,AA_79788150
2,2,2023/03/29,AA_88478151
2,3,2023/03/30,AA_20725152
1,2,2023/03/29,AA_39780153
2,1,2023/03/30,AA_22962154
2,2,2023/03/29,AA_59702155
2,2,2023/03/30,AA_68746156
2,3,2023/03/29,AA_30432157
1,2,2023/03/30,AA_34968158
2,3,2023/03/29,AA_20332159
1,2,2023/03/30,AA_75160160
1,1,2023/03/29,AA_97565161
1,1,2023/03/30,AA_25637162
2,3,2023/03/29,AA_18747163
2,2,2023/03/30,AA_70572164
2,2,2023/03/29,AA_86468165
1,3,2023/03/30,AA_79920166
2,3,2023/03/29,AA_72999167
2,2,2023/03/30,AA_77164168
1,3,2023/03/29,AA_74190169
2,2,2023/03/30,AA_37087170
2,1,2023/03/29,AA_61032171
1,3,2023/03/30,AA_55639172
2,1,2023/03/29,AA_70184173
1,2,2023/03/30,AA_16804174
1,1,2023/03/29,AA_56775175
2,2,2023/03/30,AA_37453176
2,2,2023/03/29,AA_29678177
1,2,2023/03/30,AA_73307178
1,2,2023/03/29,AA_65246179
1,2,2023/03/30,AA_62981180
1,3,2023/03/29,AA_30489181
2,3,2023/03/30,AA_94678182
1,1,2023/03/29,AA_53954183
1,2,2023/03/30,AA_33158184
1,1,2023/03/29,AA_99596185
1,1,2023/03/30,AA_62481186
1,3,2023/03/29,AA_29114187
1,3,2023/03/30,AA_97962188
1,3,2023/03/29,AA_65060189
2,1,2023/03/30,AA_44655190
1,1,2023/03/29,AA_53316191
2,2,2023/03/30,AA_41199192
1,3,2023/03/29,AA_63681193
2,1,2023/03/30,AA_85063194
1,1,2023/03/29,AA_39190195
1,1,2023/03/30,AA_47390196
2,3,2023/03/29,AA_87502197
2,2,2023/03/30,AA_37408198
1,1,2023/03/29,AA_95926199
1,3,2023/03/30,AA_11211200
1,1,2023/03/29,AA_20212201
1,3,2023/03/30,AA_10925202
2,1,2023/03/29,AA_96652203
2,3,2023/03/30,AA_17594204
1,1,2023/03/29,AA_49851205
2,3,2023/03/30,AA_18648206
2,2,2023/03/29,AA_86558207
2,2,2023/03/30,AA_14587208
1,3,2023/03/29,AA_19815209
2,3,2023/03/30,AA_19527210
1,2,2023/03/29,AA_60803211
1,1,2023/03/30,AA_31906212
2,1,2023/03/29,AA_53732213
2,2,2023/03/30,AA_30116214
2,1,2023/03/29,AA_28976215
1,2,2023/03/30,AA_65067216
2,3,2023/03/29,AA_72156217
2,2,2023/03/30,AA_47153218
2,1,2023/03/29,AA_60311219
1,1,2023/03/30,AA_99048220
1,3,2023/03/29,AA_76780221
1,1,2023/03/30,AA_15841222
2,2,2023/03/29,AA_79851223
2,2,2023/03/30,AA_51740224
1,3,2023/03/29,AA_84462225
1,2,2023/03/30,AA_41581226
1,3,2023/03/29,AA_65599227
2,3,2023/03/30,AA_77394228
1,1,2023/03/29,AA_63113229
2,1,2023/03/30,AA_27622230
1,2,2023/03/29,AA_20254231
1,2,2023/03/30,AA_14417232
2,2,2023/03/29,AA_22054233
1,1,2023/03/30,AA_52359234
2,3,2023/03/29,AA_66251235
1,2,2023/03/30,AA_68083236
2,3,2023/03/29,AA_65108237
1,3,2023/03/30,AA_15039238
1,3,2023/03/29,AA_96889239
2,2,2023/03/30,AA_32129240
2,3,2023/03/29,AA_28111241
1,1,2023/03/30,AA_49041242
2,2,2023/03/29,AA_34559243
2,3,2023/03/30,AA_11868244
1,1,2023/03/29,AA_21115245
2,2,2023/03/30,AA_77190246
1,3,2023/03/29,AA_93537247
1,1,2023/03/30,AA_34891248
1,3,2023/03/29,AA_22853249
1,3,2023/03/30,AA_39361250
2,2,2023/03/29,AA_22539251
2,3,2023/03/30,AA_35898252
2,3,2023/03/29,AA_61934253
2,2,2023/03/30,AA_59049254
1,1,2023/03/29,AA_36031255
2,1,2023/03/30,AA_43937256
2,3,2023/03/29,AA_52845257
2,3,2023/03/30,AA_45246258
1,3,2023/03/29,AA_13141259
1,3,2023/03/30,AA_15038260
2,2,2023/03/29,AA_80413261
1,2,2023/03/30,AA_96675262
2,1,2023/03/29,AA_75651263
1,2,2023/03/30,AA_44742264
2,3,2023/03/29,AA_89917265
2,3,2023/03/30,AA_34833266
1,3,2023/03/29,AA_57801267
2,2,2023/03/30,AA_83472268
1,2,2023/03/29,AA_73572269
1,1,2023/03/30,AA_89681270
1,1,2023/03/29,AA_56273271
1,2,2023/03/30,AA_24366272
1,3,2023/03/29,AA_90596273
1,2,2023/03/30,AA_83405274
1,3,2023/03/29,AA_56702275
2,1,2023/03/30,AA_79181276
1,1,2023/03/29,AA_45903277
1,3,2023/03/30,AA_35602278
2,1,2023/03/29,AA_14944279
2,1,2023/03/30,AA_17652280
1,1,2023/03/29,AA_45374281
2,3,2023/03/30,AA_12247282
2,3,2023/03/29,AA_71185283
2,2,2023/03/30,AA_44529284
1,2,2023/03/29,AA_30466285
2,2,2023/03/30,AA_47685286
2,2,2023/03/29,AA_28698287
1,3,2023/03/30,AA_34546288
2,1,2023/03/29,AA_32411289
2,1,2023/03/30,AA_74880290
2,2,2023/03/29,AA_74157291
2,1,2023/03/30,AA_69870292
2,3,2023/03/29,AA_27676293
2,1,2023/03/30,AA_24475294
2,2,2023/03/29,AA_94515295
1,2,2023/03/30,AA_98914296
2,3,2023/03/29,AA_62441297
1,1,2023/03/30,AA_99455298
1,1,2023/03/29,AA_93323299
2,3,2023/03/30,AA_25050300
1,1,2023/03/29,AA_31906301
1,3,2023/03/30,AA_30904302
2,1,2023/03/29,AA_44134303
2,2,2023/03/30,AA_76750304
1,3,2023/03/29,AA_80647305
1,3,2023/03/30,AA_21061306
2,2,2023/03/29,AA_63564307
2,1,2023/03/30,AA_60764308
1,2,2023/03/29,AA_32499309
1,2,2023/03/30,AA_57334310
1,2,2023/03/29,AA_91024311
2,2,2023/03/30,AA_67440312
1,3,2023/03/29,AA_81693313
2,1,2023/03/30,AA_20010314
2,1,2023/03/29,AA_38107315
1,1,2023/03/30,AA_21437316
1,2,2023/03/29,AA_91753317
1,3,2023/03/30,AA_92653318
2,3,2023/03/29,AA_71431319
1,1,2023/03/30,AA_74945320
1,1,2023/03/29,AA_99262321
1,3,2023/03/30,AA_87262322
2,1,2023/03/29,AA_81507323
2,1,2023/03/30,AA_64359324
1,1,2023/03/29,AA_96047325
1,1,2023/03/30,AA_84682326
2,3,2023/03/29,AA_69097327
2,2,2023/03/30,AA_60948328
2,3,2023/03/29,AA_80621329
1,2,2023/03/30,AA_50902330
2,1,2023/03/29,AA_88828331
1,2,2023/03/30,AA_50768332
1,3,2023/03/29,AA_80647333
2,3,2023/03/30,AA_75520334
1,2,2023/03/29,AA_15906335
2,2,2023/03/30,AA_33438336
2,2,2023/03/29,AA_82501337
2,3,2023/03/30,AA_51722338
1,3,2023/03/29,AA_58570339
2,3,2023/03/30,AA_34873340
1,3,2023/03/29,AA_45058341
1,3,2023/03/30,AA_91054342
2,1,2023/03/29,AA_63489343
1,2,2023/03/30,AA_87426344
2,2,2023/03/29,AA_32570345
1,2,2023/03/30,AA_18812346
2,1,2023/03/29,AA_91242347
2,1,2023/03/30,AA_21928348
2,2,2023/03/29,AA_32080349
1,1,2023/03/30,AA_37300350
1,1,2023/03/29,AA_95466351
1,2,2023/03/30,AA_13199352
2,3,2023/03/29,AA_55321353
2,2,2023/03/30,AA_21367354
1,3,2023/03/29,AA_32567355
2,2,2023/03/30,AA_90597356
2,2,2023/03/29,AA_66937357
1,2,2023/03/30,AA_72778358
1,3,2023/03/29,AA_39007359
2,3,2023/03/30,AA_19180360
1,3,2023/03/29,AA_82781361
1,3,2023/03/30,AA_65186362
2,3,2023/03/29,AA_51154363
2,1,2023/03/30,AA_94087364
2,3,2023/03/29,AA_21087365
1,2,2023/03/30,AA_20134366
2,3,2023/03/29,AA_46043367
2,3,2023/03/30,AA_26390368
2,2,2023/03/29,AA_72840369
2,1,2023/03/30,AA_43083370
2,2,2023/03/29,AA_22359371
1,2,2023/03/30,AA_13243372
1,2,2023/03/29,AA_84168373
1,2,2023/03/30,AA_53418374
2,3,2023/03/29,AA_17786375
1,3,2023/03/30,AA_60990376
2,2,2023/03/29,AA_73621377
1,3,2023/03/30,AA_51961378
1,2,2023/03/29,AA_52640379
2,2,2023/03/30,AA_27809380
1,1,2023/03/29,AA_34438381
2,3,2023/03/30,AA_37652382
1,3,2023/03/29,AA_90396383
1,3,2023/03/30,AA_73835384
1,2,2023/03/29,AA_33911385
1,2,2023/03/30,AA_37779386
2,1,2023/03/29,AA_86343387
2,3,2023/03/30,AA_28665388
1,3,2023/03/29,AA_19623389
1,1,2023/03/30,AA_10917390
2,3,2023/03/29,AA_49920391
2,3,2023/03/30,AA_60053392
2,3,2023/03/29,AA_22502393
1,1,2023/03/30,AA_42290394
2,2,2023/03/29,AA_97040395
2,3,2023/03/30,AA_53088396
1,1,2023/03/29,AA_89930397
1,2,2023/03/30,AA_41992398
1,1,2023/03/29,AA_23253399
1,3,2023/03/30,AA_66641400
1,3,2023/03/29,AA_31480401
2,3,2023/03/30,AA_29898402
1,3,2023/03/29,AA_91948403
2,2,2023/03/30,AA_34768404
2,3,2023/03/29,AA_44848405
2,1,2023/03/30,AA_74062406
2,3,2023/03/29,AA_43081407
2,1,2023/03/30,AA_28309408
2,1,2023/03/29,AA_41109409
2,2,2023/03/30,AA_63520410
2,3,2023/03/29,AA_82800411
1,2,2023/03/30,AA_36168412
1,3,2023/03/29,AA_44768413
2,3,2023/03/30,AA_58569414
1,1,2023/03/29,AA_90471415
2,3,2023/03/30,AA_19322416
2,2,2023/03/29,AA_35739417
1,1,2023/03/30,AA_64933418
2,2,2023/03/29,AA_95000419
2,2,2023/03/30,AA_48159420
2,1,2023/03/29,AA_73182421
2,2,2023/03/30,AA_40434422
2,3,2023/03/29,AA_70435423
1,1,2023/03/30,AA_80975424
1,1,2023/03/29,AA_32031425
1,2,2023/03/30,AA_16326426
2,2,2023/03/29,AA_83894427
1,2,2023/03/30,AA_69141428
2,3,2023/03/29,AA_57240429
1,1,2023/03/30,AA_33445430
1,3,2023/03/29,AA_12183431
1,1,2023/03/30,AA_72569432
1,2,2023/03/29,AA_49966433
2,3,2023/03/30,AA_75896434
2,2,2023/03/29,AA_78098435
1,3,2023/03/30,AA_40592436
1,2,2023/03/29,AA_77494437
2,1,2023/03/30,AA_51490438
2,2,2023/03/29,AA_48718439
2,3,2023/03/30,AA_15468440
1,1,2023/03/29,AA_14673441
1,3,2023/03/30,AA_25755442
2,3,2023/03/29,AA_44962443
1,1,2023/03/30,AA_21793444
1,3,2023/03/29,AA_64986445
2,2,2023/03/30,AA_15096446
1,2,2023/03/29,AA_61206447
2,3,2023/03/30,AA_34403448
1,3,2023/03/29,AA_51256449
1,1,2023/03/30,AA_84464450
2,2,2023/03/29,AA_62775451
2,1,2023/03/30,AA_95297452
1,1,2023/03/29,AA_26153453
2,2,2023/03/30,AA_70446454
1,3,2023/03/29,AA_65027455
1,3,2023/03/30,AA_84047456
1,2,2023/03/29,AA_98676457
2,3,2023/03/30,AA_57818458
2,1,2023/03/29,AA_49598459
2,2,2023/03/30,AA_21298460
1,3,2023/03/29,AA_44628461
1,1,2023/03/30,AA_54564462
1,2,2023/03/29,AA_73785463
2,1,2023/03/30,AA_46715464
1,1,2023/03/29,AA_12089465
1,1,2023/03/30,AA_70949466
1,1,2023/03/29,AA_17379467
1,1,2023/03/30,AA_76797468
1,2,2023/03/29,AA_91439469
2,2,2023/03/30,AA_99805470
2,1,2023/03/29,AA_90263471
2,1,2023/03/30,AA_37385472
1,1,2023/03/29,AA_75095473
2,2,2023/03/30,AA_17928474
2,3,2023/03/29,AA_75442475
1,1,2023/03/30,AA_30974476
2,3,2023/03/29,AA_70189477
1,1,2023/03/30,AA_45890478
1,1,2023/03/29,AA_95684479
2,1,2023/03/30,AA_67292480
2,3,2023/03/29,AA_62814481
1,3,2023/03/30,AA_24178482
1,3,2023/03/29,AA_88547483
2,1,2023/03/30,AA_95193484
1,1,2023/03/29,AA_84564485
1,2,2023/03/30,AA_86862486
2,3,2023/03/29,AA_70011487
1,2,2023/03/30,AA_85754488
1,1,2023/03/29,AA_29160489
1,1,2023/03/30,AA_21467490
2,1,2023/03/29,AA_65259491
2,3,2023/03/30,AA_62600492
2,1,2023/03/29,AA_94815493
1,2,2023/03/30,AA_71101494
2,1,2023/03/29,AA_96157495
2,1,2023/03/30,AA_48713496
2,3,2023/03/29,AA_44715497
1,1,2023/03/30,AA_23285498
1,3,2023/03/29,AA_79424499
2,3,2023/03/30,AA_77459500
2,3,2023/03/29,AA_31687501
2,2,2023/03/30,AA_58435502
2,1,2023/03/29,AA_68857503
2,2,2023/03/30,AA_87121504
1,2,2023/03/29,AA_47001505
1,2,2023/03/30,AA_29883506
1,2,2023/03/29,AA_14367507
2,1,2023/03/30,AA_44603508
1,2,2023/03/29,AA_19228509
1,2,2023/03/30,AA_46939510
2,3,2023/03/29,AA_94666511
1,3,2023/03/30,AA_97510512
1,2,2023/03/29,AA_12738513
2,1,2023/03/30,AA_59138514
2,3,2023/03/29,AA_48850515
1,3,2023/03/30,AA_69006516
2,2,2023/03/29,AA_99445517
1,2,2023/03/30,AA_64925518
1,2,2023/03/29,AA_35433519
2,1,2023/03/30,AA_26600520
2,2,2023/03/29,AA_79513521
2,1,2023/03/30,AA_92089522
1,1,2023/03/29,AA_34074523
1,2,2023/03/30,AA_14587524
1,2,2023/03/29,AA_10524525
1,3,2023/03/30,AA_62563526
1,1,2023/03/29,AA_79152527
1,2,2023/03/30,AA_31949528
1,3,2023/03/29,AA_17666529
2,3,2023/03/30,AA_86715530
2,2,2023/03/29,AA_49019531
1,2,2023/03/30,AA_51263532
2,2,2023/03/29,AA_70139533
2,3,2023/03/30,AA_91434534
1,2,2023/03/29,AA_34304535
2,3,2023/03/30,AA_56058536
2,1,2023/03/29,AA_15148537
2,2,2023/03/30,AA_32120538
1,2,2023/03/29,AA_22469539
1,1,2023/03/30,AA_13405540
1,1,2023/03/29,AA_23924541
1,1,2023/03/30,AA_40820542
2,1,2023/03/29,AA_62448543
2,1,2023/03/30,AA_20221544
2,2,2023/03/29,AA_40008545
1,1,2023/03/30,AA_20066546
1,1,2023/03/29,AA_85744547
1,3,2023/03/30,AA_57957548
2,1,2023/03/29,AA_33776549
1,2,2023/03/30,AA_47181550
2,3,2023/03/29,AA_73416551
1,1,2023/03/30,AA_38349552
2,3,2023/03/29,AA_97090553
2,3,2023/03/30,AA_77652554
2,3,2023/03/29,AA_79472555
2,3,2023/03/30,AA_65741556
2,3,2023/03/29,AA_57825557
1,1,2023/03/30,AA_38081558
1,2,2023/03/29,AA_23571559
1,3,2023/03/30,AA_91608560
2,3,2023/03/29,AA_36108561
1,3,2023/03/30,AA_30110562
2,3,2023/03/29,AA_31145563
1,1,2023/03/30,AA_91538564
2,1,2023/03/29,AA_37917565
2,1,2023/03/30,AA_31945566
2,2,2023/03/29,AA_55203567
1,3,2023/03/30,AA_72059568
1,3,2023/03/29,AA_49716569
2,1,2023/03/30,AA_14996570
1,3,2023/03/29,AA_59217571
2,3,2023/03/30,AA_39166572
2,3,2023/03/29,AA_63740573
2,3,2023/03/30,AA_74405574
1,1,2023/03/29,AA_91795575
1,3,2023/03/30,AA_13586576
2,3,2023/03/29,AA_52073577
2,2,2023/03/30,AA_42302578
1,2,2023/03/29,AA_15612579
1,1,2023/03/30,AA_31486580
1,3,2023/03/29,AA_21899581
1,3,2023/03/30,AA_65366582
1,1,2023/03/29,AA_55615583
2,2,2023/03/30,AA_68893584
1,1,2023/03/29,AA_64034585
2,2,2023/03/30,AA_55160586
2,1,2023/03/29,AA_30295587
2,2,2023/03/30,AA_67381588
2,3,2023/03/29,AA_10356589
1,2,2023/03/30,AA_49017590
1,3,2023/03/29,AA_11974591
1,1,2023/03/30,AA_50558592
1,3,2023/03/29,AA_29190593
2,1,2023/03/30,AA_97620594
1,3,2023/03/29,AA_87346595
1,2,2023/03/30,AA_93264596
2,2,2023/03/29,AA_75100597
2,3,2023/03/30,AA_42880598
2,3,2023/03/29,AA_25693599
1,1,2023/03/30,AA_25890600
1,1,2023/03/29,AA_83077601
2,2,2023/03/30,AA_53907602
1,3,2023/03/29,AA_46686603
1,3,2023/03/30,AA_24952604
1,3,2023/03/29,AA_48010605
1,3,2023/03/30,AA_89154606
2,3,2023/03/29,AA_63240607
1,1,2023/03/30,AA_57128608
1,2,2023/03/29,AA_89729609
1,2,2023/03/30,AA_51787610
2,3,2023/03/29,AA_42568611
1,1,2023/03/30,AA_86213612
2,1,2023/03/29,AA_66405613
1,2,2023/03/30,AA_66465614
1,3,2023/03/29,AA_44436615
2,3,2023/03/30,AA_26899616
2,2,2023/03/29,AA_26088617
1,2,2023/03/30,AA_83982618
1,2,2023/03/29,AA_61162619
1,2,2023/03/30,AA_29557620
1,1,2023/03/29,AA_16660621
2,2,2023/03/30,AA_58957622
2,2,2023/03/29,AA_41404623
2,3,2023/03/30,AA_81795624
2,1,2023/03/29,AA_28332625
2,3,2023/03/30,AA_63684626
2,1,2023/03/29,AA_70056627
2,2,2023/03/30,AA_98166628
1,1,2023/03/29,AA_75457629
1,2,2023/03/30,AA_24240630
2,3,2023/03/29,AA_54594631
2,2,2023/03/30,AA_23159632
1,3,2023/03/29,AA_50865633
2,3,2023/03/30,AA_64952634
2,3,2023/03/29,AA_19382635
2,1,2023/03/30,AA_49327636
2,2,2023/03/29,AA_68029637
2,1,2023/03/30,AA_68663638
2,2,2023/03/29,AA_83432639
2,1,2023/03/30,AA_72661640
2,1,2023/03/29,AA_11744641
2,2,2023/03/30,AA_31591642
2,2,2023/03/29,AA_22871643
2,1,2023/03/30,AA_61652644
2,2,2023/03/29,AA_65007645
1,1,2023/03/30,AA_26307646
1,3,2023/03/29,AA_46459647
1,3,2023/03/30,AA_20523648
2,2,2023/03/29,AA_97272649
2,1,2023/03/30,AA_90989650
1,1,2023/03/29,AA_11763651
1,3,2023/03/30,AA_46133652
1,2,2023/03/29,AA_24297653
2,1,2023/03/30,AA_14167654
1,1,2023/03/29,AA_73329655
2,1,2023/03/30,AA_60298656
1,1,2023/03/29,AA_42773657
1,2,2023/03/30,AA_79723658
1,3,2023/03/29,AA_96243659
2,2,2023/03/30,AA_82808660
1,3,2023/03/29,AA_52368661
2,3,2023/03/30,AA_31530662
2,2,2023/03/29,AA_86197663
1,3,2023/03/30,AA_92508664
2,2,2023/03/29,AA_18176665
2,1,2023/03/30,AA_67619666
1,1,2023/03/29,AA_41838667
2,3,2023/03/30,AA_45283668
2,2,2023/03/29,AA_89361669
1,3,2023/03/30,AA_81136670
2,1,2023/03/29,AA_36111671
1,1,2023/03/30,AA_86034672
1,3,2023/03/29,AA_34668673
2,2,2023/03/30,AA_16505674
1,2,2023/03/29,AA_28574675
2,1,2023/03/30,AA_68756676
1,2,2023/03/29,AA_83374677
1,2,2023/03/30,AA_74153678
1,1,2023/03/29,AA_29761679
1,3,2023/03/30,AA_35254680
1,2,2023/03/29,AA_76851681
2,1,2023/03/30,AA_66996682
1,2,2023/03/29,AA_36975683
1,3,2023/03/30,AA_62139684
1,1,2023/03/29,AA_80478685
2,2,2023/03/30,AA_88925686
2,3,2023/03/29,AA_20949687
1,2,2023/03/30,AA_44672688
1,3,2023/03/29,AA_59566689
1,3,2023/03/30,AA_23182690
2,3,2023/03/29,AA_94620691
1,2,2023/03/30,AA_25170692
2,2,2023/03/29,AA_71702693
1,1,2023/03/30,AA_43342694
2,2,2023/03/29,AA_99707695
1,1,2023/03/30,AA_44885696
2,2,2023/03/29,AA_46299697
1,3,2023/03/30,AA_23735698
2,2,2023/03/29,AA_58052699
2,3,2023/03/30,AA_83007700
1,1,2023/03/29,AA_11159701
2,2,2023/03/30,AA_11494702
2,3,2023/03/29,AA_80912703
1,1,2023/03/30,AA_55409704
2,2,2023/03/29,AA_54626705
2,3,2023/03/30,AA_79669706
1,3,2023/03/29,AA_63936707
1,2,2023/03/30,AA_34395708
2,2,2023/03/29,AA_31615709
1,1,2023/03/30,AA_54289710
2,3,2023/03/29,AA_42090711
1,3,2023/03/30,AA_18810712
1,2,2023/03/29,AA_25653713
2,1,2023/03/30,AA_13365714
1,1,2023/03/29,AA_60815715
2,2,2023/03/30,AA_49664716
2,3,2023/03/29,AA_42344717
2,3,2023/03/30,AA_65256718
1,3,2023/03/29,AA_36675719
1,1,2023/03/30,AA_97556720
1,3,2023/03/29,AA_95961721
1,3,2023/03/30,AA_90066722
2,3,2023/03/29,AA_63546723
1,3,2023/03/30,AA_67891724
1,3,2023/03/29,AA_40793725
2,1,2023/03/30,AA_57208726
1,3,2023/03/29,AA_33690727
2,2,2023/03/30,AA_74197728
2,1,2023/03/29,AA_29940729
1,3,2023/03/30,AA_71375730
1,3,2023/03/29,AA_86965731
2,1,2023/03/30,AA_84973732
1,2,2023/03/29,AA_60522733
1,3,2023/03/30,AA_42387734
1,3,2023/03/29,AA_61379735
2,3,2023/03/30,AA_89650736
2,2,2023/03/29,AA_32926737
1,2,2023/03/30,AA_72260738
2,2,2023/03/29,AA_36375739
2,1,2023/03/30,AA_92142740
2,2,2023/03/29,AA_77924741
1,1,2023/03/30,AA_60917742
1,3,2023/03/29,AA_31751743
1,1,2023/03/30,AA_95801744
2,3,2023/03/29,AA_80462745
2,1,2023/03/30,AA_37407746
1,3,2023/03/29,AA_31087747
2,2,2023/03/30,AA_26360748
2,2,2023/03/29,AA_84548749
1,3,2023/03/30,AA_81326750
1,3,2023/03/29,AA_17272751
2,2,2023/03/30,AA_74443752
2,3,2023/03/29,AA_68040753
1,1,2023/03/30,AA_77730754
1,1,2023/03/29,AA_10985755
1,2,2023/03/30,AA_45277756
1,2,2023/03/29,AA_15449757
2,2,2023/03/30,AA_63245758
2,3,2023/03/29,AA_20510759
1,2,2023/03/30,AA_45411760
1,1,2023/03/29,AA_35812761
2,1,2023/03/30,AA_74821762
2,3,2023/03/29,AA_42141763
1,2,2023/03/30,AA_54186764
1,2,2023/03/29,AA_18660765
1,2,2023/03/30,AA_12925766
2,2,2023/03/29,AA_28907767
1,1,2023/03/30,AA_66660768
2,3,2023/03/29,AA_68201769
2,3,2023/03/30,AA_89867770
1,1,2023/03/29,AA_18676771
1,3,2023/03/30,AA_58711772
1,3,2023/03/29,AA_44063773
1,1,2023/03/30,AA_15631774
